Track,Artist,Genres
Trance (with Travis Scott & Young Thug),Metro Boomin,"trap, melodic rap, rap"
Rock and A Hard Place,Bailey Zimmerman,country
obsessed,Olivia Rodrigo,"pop, pop rock"
Eyes Closed,Imagine Dragons,"alternative rock, arena rock, pop rock"
Wanna Be,GloRilla,"trap, hip hop, rap"
Don't Let Me Down,The Chainsmokers,"pop, electropop, dance-pop"
DDU-DU DDU-DU,BLACKPINK,k-pop
telepatï¿½,Kali Uchis,"r&b, latin, pop"
Wake Me Up,Avicii,edm
Overdrive (feat. Norma Jean Martine),Ofenbach,"pop, french house, electronic, dance-pop"
Chulo pt.2,Bad Gyal,"trap latino, neoperreo, dembow"
All Girls Are The Same,Juice WRLD,"melodic rap, emo rap"
Push Up - Main Edit,Creeds,"hard techno, hypertechno, techno, tekno"
Kings & Queens,Ava Max,"electronic, dance-pop, pop"
Adore You,Harry Styles,"soft rock, funk, pop"
HIGHEST IN THE ROOM,Travis Scott,rap
UNAVAILABLE (feat. Musa Keys),Davido,"azonto, afrobeat, gqom, hiplife, private school piano, amapiano, afropop, afrobeats, afroswing, afropiano"
Million Dollar Baby (Vhs),Tommy Richman,"indie pop, alternative, bedroom pop"
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,"trap latino, urbano latino, reggaeton, latin, pop"
"Chaleya (From ""Jawan"")",Anirudh Ravichander,"tamil dance, tamil pop, bollywood, desi pop, hindi pop, tamil hip hop, bangla pop, desi, telugu pop, kollywood, tollywood"
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,k-pop
ADIVINO,Myke Towers,"trap latino, urbano latino, latin, reggaeton"
THE BOX MEDLEY FUNK 2,THE BOX,"trap funk, funk, funk consciente, brazilian funk, funk de bh, brazilian trap, brega funk"
Cruel Summer,Taylor Swift,"synth-pop, 80s-inspired pop, pop"
No Me Queda Mï¿½ï¿½s (Remasterizado 2024/30th Annivers,Selena,"tejano, música mexicana, cumbia"
Breathe,Yeat,rage rap
Unforgettable,French Montana,"trap, hip hop, pop"
EASY,LE SSERAFIM,k-pop
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,"trap latino, corridos bélicos, argentine trap, urbano latino, corrido, banda, sad sierreño, electro corridos, música mexicana, corridos tumbados"
Faded,Benjamin Richter,"hip hop, rap"
Lose My Breath (Feat. Charlie Puth),Stray Kids,"k-pop, soft pop, pop"
ýýýýýýýýýý ýýýýýýýýýýýý,ALEX&RUS,"i cannot provide genres for the song ""ýýýýýýýýýý ýýýýýýýýýýýý"" by alex&rus because the title provides no information about the song's musical style.  a title consisting solely of repeated characters is not indicative of any genre."
Move,Adam Port,"house, melodic house, afro house"
F.N,Lil Tjay,"melodic rap, brooklyn drill"
Say You Won't Let Go,James Arthur,soft pop
Blank Space,Taylor Swift,"synth-pop, pop"
Girls Like You,Maroon 5,pop
HUMBLE.,Kendrick Lamar,"west coast hip hop, hip hop"
Forget Me,Lewis Capaldi,soft pop
Sabka Malik Ek,Dada Black Sheep,"bhangra, bollywood, hip hop, indian folk"
Scared To Start,Michael Marcagi,"christian rock, contemporary christian"
Super Freaky Girl,Nicki Minaj,"trap, hip hop, pop"
Miracle (with Ellie Goulding),Calvin Harris,edm
Somebody That I Used To Know,Gotye,"indie pop, electropop, alternative"
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,"soft pop, pop"
Oh No,Kreepa,"pop, electronic, pc music, hyperpop"
Pop Out (feat. Lil Tjay),Polo G,"melodic rap, brooklyn drill"
7 Years,Lukas Graham,"soul, r&b, pop"
Something in the Orange,Zach Bryan,"country, red dirt"
AMARGURA,KAROL G,"urbano latino, latin, reggaeton"
"Happy - From ""Despicable Me 2""",Pharrell Williams,"r&b, funk, pop"
Bailando Bachata,Chayanne,latin pop
La Bebe (Remix) [Apple Music Live],Peso Pluma,"trap latino, urbano latino, trap"
Treat You Better,Shawn Mendes,pop
Feliz Cumpleaï¿½ï¿½os Fe,Feid,"funk, brazilian funk, boom bap, brazilian pop, brazilian trap, brazilian hip hop, brega funk"
Let Her Go,Passenger,folk pop
Fall Back,Lithe,"synthpop, indie pop, electronic"
Stressed Out,Twenty One Pilots,"alternative rock, emo, pop, pop rock"
Astronaut In The Ocean,Masked Wolf,"trap, hip hop, rap"
All of Me,John Legend,"soft pop, neo soul"
2055,Sleepy Hallow,"new york drill, brooklyn drill"
Bandit,Don Toliver,"trap, r&b, hip hop"
Redbone,Childish Gambino,"funk, hip hop, r&b, soul"
Yimmy Yimmy,Tayc,"afrobeat, kannada pop, pop urbaine, bollywood, hindi pop, sandalwood, zouk, marathi pop, desi, punjabi pop, afrobeats, indian indie"
"This Is The Thanks I Get?! - From ""Wish""",Chris Pine,musicals
We Don't Talk About Bruno,Carolina Gaitï¿½ï¿½n - La G,"latin, reggaeton, pop"
You Proof,Morgan Wallen,country
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,"alternative rock, hip hop, pop rock"
Break My Heart,Dua Lipa,pop
Shut Down,BLACKPINK,k-pop
Regalo De Dios,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,"norteño, grupera, banda, corrido"
Never Let Go,Jung Kook,k-pop
Toyour ï¿½ï¿½ï¿,Rasha Nahas,"levantine pop, arabic pop"
Chill Vibes,Tollan Kim,"chillhop, lo-fi hip hop"
MIA (feat. Drake),Bad Bunny,"trap latino, hip hop, urbano latino, rap, reggaeton, latin"
Toosie Slide,Drake,"hip hop, rap"
MIENTRAS ME CURO DEL CORA,KAROL G,"urbano latino, latin, reggaeton"
Down Bad,Taylor Swift,"pop, country-pop"
Ballin' (with Roddy Ricch),Mustard,melodic rap
La llama que Baila,El Reino Infantil,"lullaby, children's music"
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,country
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,"r&b, hip hop, pop"
El Merengue,Marshmello,"reggaeton, latin, edm, colombian pop"
Made For Me,Muni Long,"soul, r&b, pop"
Let's Go 4,Mc IG,"trap funk, funk, funk consciente, brazilian funk, brazilian trap"
TELEKINESIS,Travis Scott,"r&b, rap"
Daqui pra Sempre,Manu,"arrocha, tecnobrega, forró, sertanejo, piseiro, seresta, sertanejo universitário, agronejo, brega"
Martin & Gina,Polo G,"trap, hip hop"
"thank u, next",Ariana Grande,pop
One Dance,Drake,"azonto, hip hop, alté, dancehall, afrobeat, rap, afropop, afrobeats, afroswing, afropiano"
ily (i love you baby) (feat. Emilee),Surf Mesa,"tropical house, electronic, pop"
Hope,XXXTENTACION,emo rap
TRUSTFALL,P!nk,"dance-pop, pop"
Intentions (feat. Quavo),Justin Bieber,"trap, r&b, pop"
PRC,Peso Pluma,"corridos bélicos, sierreño, corridos tumbados, corrido, banda, sad sierreño, electro corridos, música mexicana"
Lemonade,Internet Money,melodic rap
WITHOUT YOU,The Kid LAROI,"hip hop, alternative, pop"
Sensational (feat. Davido & Lojay),Chris Brown,"azonto, alté, afrobeat, hiplife, amapiano, afropop, r&b, afrobeats, afroswing, afropiano"
LET GO,Central Cee,"drill, uk drill, grime"
Blister In The Sun,Violent Femmes,folk punk
Savage (feat. Beyoncï¿½ï¿½) - R,Megan Thee Stallion,"trap, r&b, hip hop"
No Idea,Don Toliver,"trap, r&b, hip hop"
Love Yourself,Justin Bieber,"r&b, pop"
Tï¿½ï¿½ ,Fuerza Regida,"corridos bélicos, sierreño, corridos tumbados, corrido, colombian pop, banda, electro corridos, sad sierreño, reggaeton, latin, música mexicana"
Cari Mama Muda (Senorita Joven) - Original Mix,Carella,"house, latin, tropical, dance"
Need A Favor,Jelly Roll,"country hip hop, country"
Heeriye (feat. Arijit Singh),Jasleen Royal,"bollywood, malayalam pop, hindi pop, mollywood, hindi indie, bangla pop, desi, gujarati pop"
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,pop
Anabella,Khaid,"afrobeat, afropop, afrobeats, afro soul, afropiano"
Cuando Te Amï¿,Cupula Roja,"mariachi, tejano"
Bam Bam (feat. Ed Sheeran),Camila Cabello,soft pop
The Motto,Tiï¿½ï¿,"west coast hip hop, hip hop, rap"
Single Soon,Selena Gomez,pop
Falling Down - Bonus Track,Lil Peep,"cloud rap, emo rap"
Close,Kush & TJ,"trap, rap, southern hip hop"
Sin Pijama,Becky G,"urbano latino, latin, reggaeton, bachata"
Wasted On You,Morgan Wallen,country
BREAK MY SOUL,Beyoncï¿,"west coast hip hop, hip hop"
Nimbu Kharbuja Bhail 2,Khesari Lal Yadav,"bhojiwood, bhojpuri pop"
Murder In My Mind,Kordhell,"drift phonk, phonk"
Unstoppable,Sia,"dance-pop, pop"
traitor,Olivia Rodrigo,"alternative pop, pop"
goosebumps,Travis Scott,rap
DIME QUE,Ian G.,"trap, latin, reggaeton, pop"
Quï¿½ï¿½ Mï¿½ï¿,J Balvin,"trap, latin, reggaeton, pop"
Hrs and Hrs,Muni Long,"pop, r&b, soul"
Boy With Luv (feat. Halsey),BTS,k-pop
Broccoli,ati2x06,memphis rap
Angel Baby,Troye Sivan,"electropop, synth-pop, pop"
Way 2 Sexy (with Future & Young Thug),Drake,"trap, hip hop, melodic rap, rap"
Bhauji Lenge Lenge,Khesari Lal Yadav,"bhojiwood, bhojpuri pop"
SORRY 4 THAT MUCH,Feid,"urbano latino, reggaeton"
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,"synth-pop, alternative pop, dark pop"
PUFFIN ON ZOOTIEZ,Future,rap
3D (feat. Jack Harlow),Jung Kook,k-pop
XO Tour Llif3,Lil Uzi Vert,melodic rap
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,"pop, r&b, soul"
Desire (with Sam Smith),Calvin Harris,"soft pop, edm"
Cute,Aurel Surya Lie,"indie pop, bedroom pop"
Cold Heart - PNAU Remix,Elton John,pop
Con Altura,ROSALï¿½,"latin hip hop, dembow"
ýýýýýý (HEYA),IVE,"k-pop, dance-pop, pop"
LA CANCIï¿½,J Balvin,"electro house, pagode baiano, funk, edm, brazilian pop, reggaeton, moombahton, latin, funk carioca, funk pop"
In My Mind,Dynoro,"eurodance, italo dance"
Chandelier,Sia,"electropop, dance-pop, pop"
Eastside (with Halsey & Khalid),benny blanco,"trap, r&b, pop"
Godzilla (feat. Juice WRLD),Eminem,"hip hop, melodic rap, rap, emo rap"
All About That Bass,Meghan Trainor,"pop-r&b, doo-wop, pop"
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"desi, bollywood, desi pop, hindi pop"
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,"drill, new york drill"
Cheques,Shubh,"bhangra, desi hip hop, hindi hip hop, punjabi hip hop, desi, punjabi pop"
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,house
VAGABUNDO,Sebastian Yatra,"latin, reggaeton, colombian pop"
Cheap Thrills,Sia,dancehall
Yummy,Justin Bieber,"r&b, dance-pop, pop"
On My Mama,Victoria Monï¿½,"west coast hip hop, r&b, hip hop"
Wishing Well,Juice WRLD,"melodic rap, emo rap"
Jale 2 (feat. Vinay Yadav & Neha Shukla),Shiva Choudhary,"gujarati garba, bollywood, bhojiwood, hindi pop, bhojpuri pop, desi, gujarati pop"
Too Good At Goodbyes,Sam Smith,soft pop
SPECIALZ,King Gnu,"j-pop, anime, j-rock"
Ta Ta Ta,Bayanni,"afropiano, afrobeats, afrobeat, afropop"
Un Finde | CROSSOVER #2,Big One,"cuarteto, argentine trap, cumbia"
There's Nothing Holdin' Me Back,Shawn Mendes,pop
Gulabi Sadi,Sanju Rathod,marathi pop
Breaking Me,Topic,"electronic, edm, dance-pop"
The 5th Letter,Hollywood Dots The Oncelor,"boom bap, underground hip hop"
Belong Together,Mark Ambor,"indie pop, pop"
Shake It Off,Taylor Swift,"dance-pop, pop"
LOVELY BASTARDS,ZWE1HVNDXR,"drift phonk, brazilian phonk, phonk"
La Curiosidad,Jay Wheeler,"trap latino, urbano latino, reggaeton"
