Track,Album Name,Artist,All Time Rank,Track Score,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
Open Arms (feat. Travis Scott),SOS,SZA,"1,114",45.1,67858.0,17377077.0,76.0
edamame (feat. Rich Brian),edamame,bbno$,"1,117",45.0,137449.0,12880333.0,9.0
Turn Down for What,Turn Down for What,DJ Snake,"1,116",45.0,103666.0,30719577.0,65.0
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,"1,120",44.9,56138.0,13361149.0,69.0
Smokin Out The Window,Smokin Out The Window,Bruno Mars,"1,121",44.9,100305.0,15798103.0,66.0
Goin' Off,Goin' Off,Karan Aujla,"1,118",44.9,836.0,4594419.0,70.0
Close To You,Close To You,Gracie Abrams,"1,119",44.9,1162.0,89144538.0,74.0
From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,"1,122",44.8,83638.0,10924243.0,64.0
Nonsense,emails i can't send,Sabrina Carpenter,"1,129",44.8,55620.0,61610668.0,83.0
Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,"1,127",44.8,141221.0,21996686.0,67.0
Lose You To Love Me,Lose You To Love Me,Selena Gomez,"1,123",44.8,109325.0,48327775.0,72.0
Worth It,Worth It,YK Osiris,"1,125",44.8,66487.0,6617103.0,60.0
Fight The Feeling,Fight The Feeling,Rod Wave,"1,128",44.8,18112.0,2247123.0,51.0
Axel F,Best of Crazy Hits,Crazy Frog,"1,134",44.7,870.0,142649.0,30.0
Robbery,Robbery,Juice WRLD,"1,131",44.7,213493.0,32159591.0,73.0
Bebe Dame,Bebe Dame - Single,Fuerza Regida,"1,132",44.7,51229.0,20388246.0,70.0
Green Green Grass,george ezra songs to play when the sun's out,George Ezra,"1,133",44.7,50552.0,12812123.0,69.0
Zihaal e Miskin,Zihaal e Miskin,Javed-Mohsin,"1,135",44.7,4432.0,3741353.0,65.0
Fiel,Los Legendarios 001,Los Legendarios,"1,130",44.7,106151.0,40485324.0,64.0
Neverita,Un Verano Sin Ti,Bad Bunny,"1,139",44.6,93211.0,21780286.0,73.0
2002 - Remix,2002 (Remix),Shaun Reynolds,"1,136",44.6,88.0,6796.0,8.0
Infinity,Feel Something,Jaymes Young,"1,138",44.6,169454.0,48961048.0,74.0
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,"1,142",44.5,137681.0,53947304.0,81.0
adore u,adore u,Fred again..,"1,141",44.5,44672.0,48826452.0,71.0
Numb Little Bug,Numb Little Bug,Em Beihold,"1,143",44.5,68868.0,18801509.0,66.0
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,"1,144",44.4,141261.0,26970098.0,68.0
Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,"1,145",44.4,26854.0,23489333.0,68.0
Suicidal,Melly vs. Melvin,YNW Melly,"1,146",44.4,113061.0,13801176.0,67.0
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,"1,149",44.3,9804.0,2252266.0,54.0
Sky,Whole Lotta Red,Playboi Carti,"1,147",44.3,209136.0,30701216.0,74.0
Payphone,Overexposed Track By Track,Maroon 5,"1,153",44.2,249663.0,71678167.0,78.0
Brickell,MANIFESTING 20-05,Feid,"1,150",44.2,5064.0,62237863.0,79.0
I Like Me Better,I Like Me Better,Lauv,"1,152",44.2,157818.0,34910721.0,75.0
RUNAWAY,RUNAWAY,OneRepublic,"1,154",44.2,16650.0,19684494.0,67.0
Que Se Cuide,Que Se Cuide,Luis R Conriquez,"1,151",44.2,1566.0,48637114.0,77.0
On My Love,On My Love (Sped Up),Zara Larsson,"1,159",44.1,20826.0,60798732.0,7.0
She Share Story,She Share Story,Shayne Orok,"1,156",44.1,2443.0,424979.0,33.0
Mujeriego,Mujeriego - Single,Ryan Castro,"1,158",44.1,63343.0,16024245.0,63.0
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,"1,160",44.1,188778.0,26774987.0,6.0
TUTA GOLD,TUTA GOLD,Mahmood,"1,157",44.1,5218.0,9118781.0,65.0
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,"1,161",44.0,3784.0,17036800.0,83.0
Legends,Legends,Juice WRLD,"1,166",44.0,118639.0,18809173.0,63.0
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,"1,164",44.0,186174.0,27470180.0,69.0
King Size,Feed Tha Streets III,Roddy Ricch,"1,163",44.0,3105.0,291653.0,33.0
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,"1,168",43.9,137691.0,22202207.0,68.0
Linger - SiriusXM Session,SiriusXM Session,Royel Otis,"1,171",43.9,908.0,11708987.0,69.0
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,"1,167",43.9,241882.0,48328259.0,29.0
Addicted,Addicted (feat. Ink) - Single,Zerb,"1,170",43.9,7213.0,65806267.0,79.0
Besos Moja2,Besos Moja2,Wisin & Yandel,"1,176",43.8,48450.0,23910344.0,69.0
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,"1,173",43.8,188378.0,27325666.0,71.0
Chanel,Chanel,Becky G,"1,175",43.8,21244.0,8675975.0,65.0
Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,"1,180",43.7,126894.0,19992900.0,62.0
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,"1,181",43.7,15932.0,35397476.0,78.0
Religiously,Religiously,Bailey Zimmerman,"1,178",43.7,25164.0,10017767.0,73.0
What Happened To Virgil (feat. Gunna),7220,Lil Durk,"1,179",43.7,63045.0,7698742.0,59.0
Hello,Hello,Adele,"1,186",43.6,140637.0,42531792.0,68.0
HAY LUPITA,HAY LUPITA - Single,Lomiiel,"1,187",43.6,1996.0,19217759.0,71.0
Gatita,Gatita,Bellakath,"1,184",43.6,25714.0,8048259.0,57.0
World on Fire,NATE SMITH (DELUXE),Nate Smith,"1,183",43.6,15383.0,9521311.0,69.0
Love You Anyway,Love You Anyway,Luke Combs,"1,185",43.6,29896.0,7920265.0,67.0
MOJABI GHOST,DATA,Tainy,"1,188",43.5,46625.0,20677828.0,75.0
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,"1,194",43.4,118020.0,24734503.0,74.0
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,"1,191",43.4,108296.0,18764224.0,71.0
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,"1,195",43.4,97707.0,24754802.0,69.0
Gucci Gang,Gucci Gang,Lil Pump,"1,189",43.4,66961.0,13429975.0,55.0
La Bebe,LPM,Yng Lvcas,"1,198",43.3,35404.0,4489095.0,64.0
Jaded,Endless Summer Vacation,Miley Cyrus,"1,197",43.3,22117.0,9481406.0,65.0
Bye,Bye,Peso Pluma,"1,196",43.3,24974.0,6379185.0,65.0
L$d,Deaf 2 Society,Luclover,"1,199",43.3,15846.0,2877860.0,36.0
Wolves,Wolves,Selena Gomez,"1,200",43.3,123735.0,33188573.0,71.0
Scars To Your Beautiful,Know-It-All,Alessia Cara,"1,201",43.2,129568.0,38951634.0,71.0
FRI(END)S,FRI(END)S,V,"1,203",43.2,3800.0,44868049.0,85.0
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,"1,204",43.2,41062.0,14552186.0,65.0
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,"1,202",43.2,1247.0,63521139.0,78.0
Praise God,Donda,Kanye West,"1,208",43.1,143071.0,22968843.0,67.0
Friesenjung,Friesenjung,Ski Aggu,"1,205",43.1,70377.0,9755773.0,70.0
El Azul,El Azul - Single,Junior H,"1,206",43.1,42304.0,22784674.0,76.0
EARFQUAKE,IGOR,"Tyler, The Creator","1,207",43.1,198786.0,34308753.0,76.0
if u think i'm pretty,if u think i'm pretty,Artemas,"1,212",43.0,26538.0,17112526.0,78.0
Fin de Semana,Fin de Semana,Oscar Maydon,"1,211",43.0,38126.0,18723665.0,76.0
My Oh My (feat. DaBaby),Romance,Camila Cabello,"1,218",42.9,78873.0,23552368.0,68.0
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,"1,217",42.9,66543.0,14596512.0,70.0
123 Song,123 Song,D Billions,"1,214",42.9,98.0,14910.0,23.0
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,"1,213",42.9,190490.0,26875379.0,67.0
Numb,Numb,Marshmello,"1,219",42.9,70661.0,51920160.0,69.0
Ojapiano,Ojapiano - Single,KCee,"1,222",42.8,8182.0,3092737.0,56.0
Area Codes,Area Codes,Kaliii,"1,220",42.8,33819.0,27729274.0,68.0
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,"1,221",42.8,1887.0,331053.0,51.0
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,"1,223",42.8,369150.0,165607442.0,80.0
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,"1,230",42.7,37923.0,17851037.0,75.0
In Ha Mood,In Ha Mood,Ice Spice,"1,234",42.7,39734.0,15519701.0,63.0
ALL MINE,WASTELAND,Brent Faiyaz,"1,232",42.7,61987.0,22567278.0,71.0
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,"1,231",42.7,126610.0,15066503.0,72.0
The Night We Met,The Night We Met,Lord Huron,"1,226",42.7,286668.0,123211490.0,84.0
BOO!SHUT,BOO!SHUT,PIGGS,"1,233",42.7,41.0,1972.0,3.0
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,"1,228",42.7,873.0,40161269.0,70.0
Talk,Talk,Yeat,"1,229",42.7,77898.0,8717113.0,67.0
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,"1,240",42.6,4216.0,90998184.0,76.0
Kya Loge Tum,Kya Loge Tum,B Praak,"1,238",42.6,2561.0,1939449.0,57.0
California Breeze,It's Only Me,Lil Baby,"1,237",42.6,45626.0,8408366.0,61.0
Nonstop,Scorpion,Drake,"1,239",42.6,175188.0,51548109.0,71.0
LOVE DIVE,LOVE DIVE,IVE,"1,243",42.5,28165.0,11131897.0,69.0
Go Stupid,Go Stupid,Polo G,"1,241",42.5,112485.0,21170575.0,69.0
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,"1,247",42.4,165234.0,35485186.0,63.0
Lovesick Girls,THE ALBUM,BLACKPINK,"1,248",42.4,40766.0,14363550.0,65.0
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,"1,246",42.4,114049.0,30877323.0,64.0
Una Vida Pasada,Una Vida Pasada,Camilo,"1,249",42.4,2952.0,47126163.0,81.0
Steven Universe,Steven Universe,L.Dre,"1,245",42.4,14464.0,2212197.0,50.0
places to be,places to be,Fred again..,"1,250",42.4,2277.0,40816159.0,73.0
Elvira,Elvira,Oscar Maydon,"1,255",42.3,8183.0,47711465.0,81.0
Fantasias,Fantasias,Rauw Alejandro,"1,253",42.3,76919.0,24789585.0,67.0
Am,AM,Nio Garcia,"1,257",42.2,70546.0,11143810.0,57.0
PLEBADA,PLEBADA,El Alfa,"1,260",42.2,17100.0,7456228.0,65.0
Fall In Love,Fall In Love,Bailey Zimmerman,"1,262",42.2,47288.0,6430525.0,71.0
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,"1,256",42.2,34632.0,4625072.0,37.0
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,"1,264",42.1,4418.0,21928475.0,78.0
Waiting For Love,Ibiza Residence 2015,Avicii,"1,263",42.1,205128.0,62368816.0,74.0
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,"1,271",42.0,108705.0,24218793.0,68.0
Mo Bamba,Mo Bamba,Sheck Wes,"1,266",42.0,198581.0,38436526.0,71.0
Bank Account,Issa Album,21 Savage,"1,267",42.0,195032.0,31101180.0,70.0
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,"1,269",42.0,67381.0,127728248.0,87.0
Never Felt So Alone,Never Felt So Alone,Labrinth,"1,275",41.9,44019.0,21429823.0,67.0
Love Me JeJe,Love Me JeJe - Single,Tems,"1,274",41.9,4787.0,53092639.0,76.0
Heather,Kid Krow,Conan Gray,"1,276",41.8,191604.0,123682546.0,80.0
Come & Go (with Marshmello),Come & Go (with Marshmello),Juice WRLD,"1,277",41.8,180366.0,25884639.0,71.0
Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,"1,278",41.7,34370.0,18181647.0,67.0
Love Again,Future Nostalgia,Dua Lipa,"1,279",41.7,90805.0,19218236.0,67.0
Giving Me,Giving Me,Jazzy,"1,284",41.6,44298.0,37322737.0,67.0
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,"1,282",41.6,137106.0,54447816.0,74.0
Bailando - English Version,S** AND LOVE,Enrique Iglesias,"1,289",41.5,28233.0,7288674.0,50.0
TV,Guitar Songs,Billie Eilish,"1,285",41.5,80064.0,39873526.0,76.0
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,"1,286",41.5,3535.0,21565868.0,76.0
pushin P (feat. Young Thug),DRIP SEASON 4EVER,Gunna,"1,291",41.4,125521.0,25605777.0,65.0
Take Me to Church,Take Me To Church,Hozier,"1,293",41.4,238611.0,69693570.0,78.0
It's You,It's You,Ali Gatie,"1,292",41.4,140766.0,29272883.0,72.0
Love Lee,Love Lee,AKMU,"1,294",41.4,10736.0,4247248.0,65.0
Jump,TYLA,Tyla,"1,295",41.4,10243.0,123617533.0,77.0
Venom - Music From The Motion Picture,Kamikaze,Eminem,"1,290",41.4,139716.0,24601490.0,68.0
The Painter,The Painter - Single,Cody Johnson,"1,298",41.3,16004.0,19123002.0,66.0
Chiky Boom,Chiky Boom,Paylon,"1,300",41.2,14.0,769.0,1.0
Vista Al Mar,Vista Al Mar,Quevedo,"1,303",41.2,74845.0,23960314.0,68.0
Imagine,Imagine,Carbonne,"1,301",41.2,3113.0,9735703.0,77.0
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,"1,304",41.2,207686.0,66120497.0,82.0
X (feat. Future),Savage Mode,21 Savage,"1,302",41.2,115125.0,20776088.0,65.0
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,"1,314",41.1,12683.0,18918954.0,78.0
Passionfruit,More Life,Drake,"1,309",41.1,288559.0,72837714.0,77.0
Like Crazy,FACE,Jimin,"1,308",41.1,16425.0,22818507.0,84.0
What It Is (Solo Version),What It Is (Versions),Doechii,"1,311",41.1,38674.0,36667220.0,70.0
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee,Migos,"1,307",41.1,173279.0,29410941.0,66.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO,Enrique Iglesias,"1,313",41.1,87667.0,24084151.0,65.0
Soak City (Do it),Soak City (Do it),310babii,"1,310",41.1,26723.0,26216067.0,65.0
The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,"1,319",41.0,166545.0,26349705.0,65.0
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,"1,318",41.0,49556.0,9366950.0,52.0
Woah (feat. D3Mstreet),Woah,KRYPTO9095,"1,315",41.0,21725.0,3265269.0,45.0
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,"1,316",41.0,113036.0,73538856.0,73.0
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,"1,321",40.9,116269.0,56772519.0,73.0
she's all i wanna be,she's all i wanna be,Tate McRae,"1,324",40.8,58658.0,18026092.0,71.0
Oh My God,30,Adele,"1,327",40.8,66469.0,27321505.0,68.0
iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,"1,325",40.8,121478.0,17895084.0,64.0
I AM,I've IVE,IVE,"1,326",40.8,20356.0,8290715.0,71.0
Midnight Sky,Midnight Sky,Miley Cyrus,"1,323",40.8,86326.0,19484618.0,66.0
Andrea,Un Verano Sin Ti,Bad Bunny,"1,335",40.7,51912.0,12241438.0,71.0
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,"1,338",40.7,257640.0,63705857.0,80.0
Going Bad (feat. Drake),Championships,Meek Mill,"1,330",40.7,190095.0,47916138.0,73.0
Wunder,Wunder,AYLIVA,"1,336",40.7,3863.0,15268731.0,77.0
Safaera,YHLQMDLG,Bad Bunny,"1,331",40.7,116275.0,31273843.0,70.0
Baby,R&B Collection 2011,Justin Bieber,"1,337",40.7,136655.0,76732478.0,76.0
On BS,Her Loss,Drake,"1,333",40.7,82934.0,17735363.0,67.0
LAGUNAS,LAGUNAS,Peso Pluma,"1,339",40.6,23886.0,6601410.0,74.0
Narcotics (with Bryant Myers),Narcotics (with Bryant Myers),Dei V,"1,344",40.6,23281.0,12418680.0,73.0
24K Magic,24K Magic,Bruno Mars,"1,340",40.6,175419.0,63087960.0,77.0
The Feels,The Feels,TWICE,"1,346",40.5,43727.0,10543105.0,66.0
Someone Like You,21' Sampler,Adele,"1,345",40.5,211527.0,80288449.0,75.0
Oh U Went (feat. Drake),BUSINESS IS BUSINESS,Young Thug,"1,347",40.5,43943.0,22872664.0,64.0
High Fashion (feat. Mustard),Please Excuse Me For Being Antisocial,Roddy Ricch,"1,351",40.3,113736.0,16354487.0,65.0
Ronald,Ronald,Falling In Reverse,"1,357",40.3,3463.0,4194033.0,72.0
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,"1,353",40.3,128536.0,20047619.0,68.0
Boss Bitch,Boss Bitch,Doja Cat,"1,352",40.3,126275.0,47587177.0,70.0
Ballena,Ballena,Vulgo FK,"1,354",40.3,28303.0,9617276.0,66.0
Locked Away (feat. Adam Levine),Locked Away,R. City,"1,355",40.3,143056.0,48490958.0,75.0
Tal Vez,Tal Vez,Paulo Londra,"1,350",40.3,75691.0,21188829.0,67.0
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,"1,359",40.2,142939.0,25725853.0,69.0
Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,"1,362",40.2,93856.0,28511210.0,71.0
Cynical,Cynical,twocolors,"1,363",40.2,20339.0,47189903.0,41.0
These Words,These Words,Badger,"1,360",40.2,9301.0,84272492.0,78.0
Robarte un Beso,Robarte un Beso,Carlos Vives,"1,361",40.2,53101.0,23936663.0,72.0
Vida Gangster,Vida Gangster,Lauty Gram,"1,358",40.2,20571.0,4824421.0,56.0
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,"1,366",40.1,62386.0,29271052.0,65.0
Cowgirls (feat. ERNEST),One Thing At A Time,Morgan Wallen,"1,371",40.1,31680.0,27441895.0,81.0
Hass Hass,Hass Hass - Single,Diljit Dosanjh,"1,370",40.1,10191.0,8686387.0,70.0
You Got It,You Got It,Vedo,"1,367",40.1,56415.0,7671267.0,64.0
LDR,LDR,Shoti,"1,365",40.1,5646.0,1050088.0,57.0
"Kaavaalaa (From ""Jailer"")","Kaavaalaa (From ""Jailer"")",Shilpa Rao,"1,373",40.0,5151.0,4767067.0,61.0
Me or Sum (feat. Future & Lil Baby),Me or Sum (feat. Future & Lil Baby) - Single,Nardo Wick,"1,374",40.0,77071.0,7941140.0,59.0
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Dwayne Johnson,"1,372",40.0,57721.0,18005001.0,66.0
Billete Grande (En Vivo),Billete Grande (En Vivo),Fuerza Regida,"1,377",39.9,30705.0,7109920.0,68.0
Royals,The Love Club EP,Lorde,"1,386",39.8,163195.0,59733007.0,73.0
Charm,Charm (Sped Up),Rema,"1,387",39.8,35929.0,7199181.0,65.0
Mon Amour - Remix,Mon Amour (Remix),zzoilo,"1,381",39.8,101479.0,31506074.0,72.0
Adan y Eva,Adan y Eva,Paulo Londra,"1,383",39.8,85897.0,24226776.0,70.0
No Lie,Dua Lipa (Complete Edition),Sean Paul,"1,384",39.8,180669.0,44962652.0,76.0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,"1,379",39.8,11941.0,13056935.0,66.0
The Astronaut,The Astronaut,JIN,"1,382",39.8,12509.0,19653160.0,79.0
Gogo Dance,SABIDURIA,El Alfa,"1,385",39.8,29662.0,6577251.0,64.0
Komang,Komang,Raim Laode,"1,378",39.8,16110.0,3893973.0,70.0
The Spectre,The Spectre,Alan Walker,"1,395",39.7,67602.0,15209777.0,67.0
DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,"1,396",39.7,23891.0,5328396.0,63.0
Ferxxo 100,Ferxxo 100,Feid,"1,392",39.7,56678.0,17366565.0,73.0
More than you know,More than you know,NoSpace,"1,397",39.7,5.0,33.0,2.0
Shower,Crave Vol. 9 (Mixed By DJ Havana Brown),Becky G,"1,390",39.7,110573.0,53838139.0,73.0
B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,"1,389",39.7,119047.0,39606593.0,70.0
Chatak Matak,Chatak Matak,Renuka Panwar,"1,391",39.7,1588.0,347235.0,54.0
Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,"1,401",39.6,76622.0,17496536.0,62.0
FRIENDS,Speak Your Mind,Marshmello,"1,399",39.6,148480.0,33658538.0,70.0
Come back to me,Come back to me,RM,"1,400",39.6,1389.0,24249059.0,84.0
3:15 (Breathe),3:15 (Breathe),Russ,"1,406",39.5,72865.0,7583638.0,72.0
Love Me Again,Layover,V,"1,402",39.5,13455.0,18636467.0,82.0
Down Under (feat. Colin Hay),Down Under,Luude,"1,403",39.5,125064.0,22299331.0,60.0
Like That (feat. Gucci Mane),Hot Pink,Doja Cat,"1,405",39.5,74416.0,19414789.0,66.0
Control,Control,Zoe Wees,"1,407",39.5,81641.0,24075887.0,66.0
Push Up - Original Mix,Push Up - Single,Creeds,"1,409",39.4,78156.0,5245976.0,58.0
Dancin (feat. Luvli) - Krono Remix,Dancin (Krono Remix),Aaron Smith,"1,411",39.4,163911.0,32032973.0,71.0
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,"1,410",39.4,142094.0,65054729.0,70.0
Die For You,SMITHEREENS,Joji,"1,412",39.4,74276.0,30821017.0,71.0
SC-9,SC-9,Yahir Saldivar,"1,415",39.3,2994.0,12621491.0,64.0
My Head & My Heart,Heaven & Hell,Ava Max,"1,413",39.3,72376.0,41025788.0,69.0
Accendio,IVE SWITCH,IVE,"1,418",39.2,1027.0,749609.0,72.0
Loosing interest,Missing,Kurochuu,"1,419",39.2,2.0,2190.0,4.0
Turbo S,PISTOLER POESI OCH SEX,Yasin,"1,416",39.2,1764.0,32374.0,33.0
Mi Bello Angel,Nata Montana,Natanael Cano,"1,421",39.1,23359.0,14819855.0,76.0
1-800-273-8255,1-800-273-8255,Logic,"1,427",39.0,155866.0,27988875.0,67.0
The Middle,The Middle,Zedd,"1,432",38.9,135666.0,65498300.0,72.0
Pompeii,Bad Blood (The Extended Cut),Bastille,"1,434",38.9,259895.0,65869505.0,71.0
Hymn For The Weekend - Seeb Remix,A Head Full Of Dreams,Coldplay,"1,429",38.9,66904.0,13714193.0,62.0
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,"1,431",38.9,119464.0,35423440.0,66.0
Hold On,Hold On,Justin Bieber,"1,433",38.9,98447.0,21788917.0,65.0
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,"1,430",38.9,287524.0,83050639.0,74.0
I Like It,Invasion of Privacy,Cardi B,"1,439",38.8,175421.0,77421150.0,72.0
8 Parche,8 Parche,Baani Sandhu,"1,436",38.8,9383.0,1730849.0,58.0
THANK GOD,UTOPIA,Travis Scott,"1,440",38.8,53828.0,5159560.0,68.0
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,"1,438",38.8,155380.0,26351002.0,62.0
Si Te Pudiera Mentir,Simplemente Gracias,Calibre 50,"1,444",38.7,39746.0,21866121.0,69.0
Tell Em,Tell Em,Cochise,"1,442",38.7,156928.0,20525072.0,70.0
Close Eyes,Close Eyes,DVRST,"1,448",38.6,118862.0,32562324.0,70.0
LA DURANGO,LA DURANGO,Peso Pluma,"1,447",38.6,2684.0,48467220.0,79.0
Please Me,Please Me,Cardi B,"1,449",38.6,58065.0,19199798.0,70.0
El Hijo Mayor,El Hijo Mayor - Single,Junior H,"1,450",38.6,30881.0,19190261.0,71.0
TIL FURTHER NOTICE,UTOPIA,Travis Scott,"1,451",38.5,55843.0,7668430.0,71.0
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",Poblado (Remix),J Balvin,"1,454",38.5,60696.0,17980948.0,61.0
LOKERA,LOKERA,Rauw Alejandro,"1,452",38.5,74344.0,55382119.0,75.0
cardigan,folklore,Taylor Swift,"1,458",38.4,94169.0,67796903.0,80.0
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator","1,456",38.4,283537.0,75314202.0,84.0
Amanece,Amanece,Anuel AA,"1,457",38.4,80071.0,22684253.0,77.0
King Shit,Leo,Shubh,"1,455",38.4,4988.0,9741006.0,71.0
LA INOCENTE,Microdosis,Mora,"1,461",38.4,92256.0,38659924.0,76.0
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,"1,462",38.3,200270.0,32837352.0,72.0
Johnny Dang (with Paul Wall & DRODi),Johnny Dang (with Paul Wall & DRODi),That Mexican OT,"1,466",38.3,42334.0,16862073.0,68.0
S-Class,5-STAR,Stray Kids,"1,465",38.3,14268.0,6924859.0,70.0
GASLIGHT,GASLIGHT,INJI,"1,463",38.3,8421.0,1500039.0,48.0
Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,"1,464",38.3,75951.0,9524862.0,60.0
Vente Pa' Ca,Vente Pa' Ca,Ricky Martin,"1,467",38.2,57564.0,22110798.0,66.0
Can't Tame Her,Can't Tame Her,Zara Larsson,"1,473",38.2,31456.0,22058380.0,62.0
VIBEZ,KIRK,DaBaby,"1,470",38.2,95756.0,16692750.0,59.0
I Don't Fuck With You,I Don't Fuck With You,Big Sean,"1,475",38.2,135134.0,33420257.0,67.0
Se Grita,Reinsertado,Morad,"1,474",38.2,47009.0,7163568.0,69.0
HYAENA,UTOPIA,Travis Scott,"1,468",38.2,47247.0,5437356.0,68.0
KICK BACK,KICK BACK,Kenshi Yonezu,"1,469",38.2,61627.0,7633366.0,70.0
M.A.I,111,Milo j,"1,471",38.2,12417.0,15958224.0,76.0
Tu hai kahan,Tu hai kahan,AUR,"1,472",38.2,16445.0,7312501.0,72.0
Truth or Dare,TYLA,Tyla,"1,480",38.1,13407.0,30382319.0,77.0
Just the Way You Are,Just The Way You Are,Bruno Mars,"1,477",38.1,233719.0,148404419.0,79.0
Rasputin,Rasputin,Majestic,"1,481",38.1,152363.0,73448130.0,73.0
Say It Right (Dance),"This Is MELON, Vol. 1 (Dance)",MELON,"1,479",38.1,560.0,10301672.0,30.0
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,"1,483",38.1,134427.0,81562006.0,69.0
